10 3
30 17
37 29
43 1
43 8
56 73
57 14
63 2
70 42
71 55
72 39
78 15
86 13
87 19
97 54
100 75
102 24
102 67
110 36
111 9
121 92
125 18
130 18
133 76
137 18
142 56
153 41
153 51
155 45
157 1
157 86
160 20
161 1
162 40
163 6
170 72
175 47
180 34
180 69
191 70
193 10
198 10
218 46
223 50
234 74
236 0
241 57
260 37
260 43
269 53
272 15
274 65
278 86
285 30
288 11
294 21
294 44
297 26
299 25
308 31
314 59
323 8
334 42
353 28
353 32
360 40
362 34
367 22
367 27
368 10
371 46
372 10
378 48
379 78
380 60
385 1
386 35
388 1
397 55
399 43
406 54
413 37
417 68
420 69
425 59
430 45
430 75
438 19
444 31
446 29
453 26
458 39
459 33
461 51
470 34
470 96
498 38
500 66
506 3
508 25
511 70
513 76
514 1
514 79
519 76
520 11
527 17
528 52
528 65
530 44
532 56
538 64
539 46
549 82
550 0
554 54
556 96
565 53
570 74
575 29
578 41
578 49
578 59
580 29
585 40
590 48
596 86
598 67
617 58
620 61
623 73
629 4
630 19
633 25
644 6
646 16
646 21
654 62
667 69
669 11
674 20
676 49
678 26
688 12
689 10
690 54
694 10
704 3
704 7
705 36
708 78
713 86
715 40
727 76
733 65
735 17
742 2
755 23
766 63
767 61
776 27
781 24
794 34
797 5
797 82
798 47
800 25
800 57
805 60
805 71
810 8
811 51
813 11
817 69
825 38
825 96
827 68
832 43
839 9
843 10
844 56
847 64
850 35
850 37
850 66
852 50
858 26
870 92
880 36
881 54
886 72
890 79
893 45
893 79
894 52
900 22
901 96
903 59
907 86
914 48
922 44
925 65
927 6
927 71
932 5
937 53
948 32
954 27
955 66
969 82
977 92
977 96
982 30
